,model,km,cost
49,"2017 Toyota Etios Liva
1.2 V
1,22,000 kmsPetrol","1,22,000 kmsPetrol","₹ 5.25 Lakh
EMI @ ₹ 10,630
Bangalore"
50,"2010 Ford Figo
Petrol ZXI
38,000 kmsPetrol","38,000 kmsPetrol","₹ 3.25 Lakh
Bangalore"
51,"2004 Mercedes-Benz E-Class
E270 CDI
99,000 kmsDiesel","99,000 kmsDiesel","₹ 7.9 Lakh
Bangalore"
52,"2018 Hyundai Creta
1.6 SX Option
25,000 kmsPetrol","25,000 kmsPetrol","₹ 13.75 Lakh
EMI @ ₹ 27,841
Bangalore"
53,"2018 Maruti Ignis
Zeta
12,474 kmsPetrol","12,474 kmsPetrol","₹ 5.75 Lakh
Fixed Price
EMI @ ₹ 11,643"
54,"2013 Maruti Ritz
ZDi
2,02,000 kmsDiesel","2,02,000 kmsDiesel","₹ 4.25 Lakh
Bangalore"
55,"2011 Maruti Swift Dzire
VDi
97,000 kmsDiesel","97,000 kmsDiesel","₹ 4.38 Lakh
Bangalore"
56,"2014 Maruti Alto 800
LXI
55,000 kmsPetrol","55,000 kmsPetrol","₹ 3.25 Lakh
EMI @ ₹ 6,581
Bangalore"
57,"2015 Hyundai Grand i10
Sportz
58,662 kmsPetrol","58,662 kmsPetrol","₹ 4.85 Lakh
EMI @ ₹ 9,820
Bangalore"
58,"2017 Datsun RediGO
S
50,000 kmsPetrol","50,000 kmsPetrol","₹ 3.25 Lakh
EMI @ ₹ 6,581
Bangalore"
59,"2014 Hyundai Grand i10
Magna
58,300 kmsPetrol","58,300 kmsPetrol","₹ 4.25 Lakh
EMI @ ₹ 8,605
Bangalore"
60,"2015 Maruti Celerio
VXI AT Optional
35,302 kmsPetrol","35,302 kmsPetrol","₹ 4.35 Lakh
EMI @ ₹ 8,808
Bangalore"
61,"2018 Hyundai i20
1.2 Asta
45,000 kmsPetrol","45,000 kmsPetrol","₹ 7.75 Lakh
EMI @ ₹ 15,692
Bangalore"
62,"2011 Maruti Swift Dzire
Ldi BSIV
50,916 kmsDiesel","50,916 kmsDiesel","₹ 4.25 Lakh
Bangalore"
63,"2011 Audi Q5
3.0 TDI Quattro
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 15.5 Lakh
Bangalore"
64,"2017 Hyundai Grand i10
CRDi Sportz
35,000 kmsDiesel","35,000 kmsDiesel","₹ 4.25 Lakh
EMI @ ₹ 8,605
Bangalore"
65,"2011 Maruti Swift Dzire
LDi
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 3.5 Lakh
Bangalore"
66,"2015 Hyundai Verna
1.6 VTVT SX
60,000 kmsPetrol","60,000 kmsPetrol","₹ 7.3 Lakh
EMI @ ₹ 14,781
Bangalore"
67,"2017 Maruti Eeco
5 Seater AC BSIV
25,700 kmsPetrol","25,700 kmsPetrol","₹ 3.8 Lakh
EMI @ ₹ 7,694
Bangalore"
68,"2016 Maruti Ertiga
VDI
47,289 kmsDiesel","47,289 kmsDiesel","₹ 8.75 Lakh
EMI @ ₹ 17,717
Bangalore"
69,"2015 Toyota Etios
1.5 DLX
120,000 kmsPetrol","120,000 kmsPetrol","₹ 3.5 Lakh
EMI @ ₹ 7,087
Bangalore"
70,"2012 Hyundai EON
D Lite Plus
7,943 kmsPetrol","7,943 kmsPetrol","₹ 2.6 Lakh
Bangalore"
71,"2011 BMW 3 Series
320d Highline
91,000 kmsDiesel","91,000 kmsDiesel","₹ 11.5 Lakh
Bangalore"
72,"2015 Hyundai i10
Sportz
35,000 kmsPetrol","35,000 kmsPetrol","₹ 4.8 Lakh
EMI @ ₹ 9,719
Bangalore"
73,"2016 Volkswagen Polo
GT TSI
51,000 kmsPetrol","51,000 kmsPetrol","₹ 8.58 Lakh
EMI @ ₹ 17,373
Bangalore"
74,"2021 Maruti Baleno
Alpha CVT
1,325 kmsPetrol","1,325 kmsPetrol","₹ 10.48 Lakh
EMI @ ₹ 15,590
Bangalore"
75,"2016 Datsun RediGO
T Option
11,875 kmsPetrol","11,875 kmsPetrol","₹ 3.25 Lakh
EMI @ ₹ 6,581
Bangalore"
76,"2014 Mahindra XUV500
W6 2WD
70,000 kmsDiesel","70,000 kmsDiesel","₹ 8.75 Lakh
EMI @ ₹ 17,717
Bangalore"
77,"2016 Maruti Alto 800
LXI
53,908 kmsPetrol","53,908 kmsPetrol","₹ 3.22 Lakh
EMI @ ₹ 6,520
Bangalore"
78,"2012 Hyundai i10
Magna
45,788 kmsPetrol","45,788 kmsPetrol","₹ 3.39 Lakh
Bangalore"
79,"2015 Honda Jazz
V CVT
26,308 kmsPetrol","26,308 kmsPetrol","₹ 6.18 Lakh
Fixed Price
EMI @ ₹ 12,513"
80,"2016 Maruti Baleno
1.3 Zeta
90,000 kmsDiesel","90,000 kmsDiesel","₹ 6.5 Lakh
EMI @ ₹ 13,161
Bangalore"
81,"2016 Hyundai i20
Sportz 1.2
1,20,000 kmsPetrol","1,20,000 kmsPetrol","₹ 6 Lakh
EMI @ ₹ 12,149
Bangalore"
82,"2017 Audi Q3
35 TDI Quattro Premium Plus
58,500 kmsDiesel","58,500 kmsDiesel","₹ 28.5 Lakh
EMI @ ₹ 57,707
Bangalore"
83,"2010 Hyundai i20
1.2 Magna
1,10,000 kmsPetrol","1,10,000 kmsPetrol","₹ 3.5 Lakh
Bangalore"
84,"2016 Skoda Rapid
1.5 TDI AT Ambition
80,000 kmsDiesel","80,000 kmsDiesel","₹ 6.5 Lakh
EMI @ ₹ 13,161
Bangalore"
85,"2018 Tata Nexon
1.5 Revotorq XZ Plus
57,000 kmsDiesel","57,000 kmsDiesel","₹ 10 Lakh
EMI @ ₹ 20,248
Bangalore"
86,"2014 Hyundai Grand i10
Asta
21,000 kmsPetrol","21,000 kmsPetrol","₹ 5 Lakh
EMI @ ₹ 10,124
Bangalore"
87,"2018 Maruti Baleno
1.2 Alpha
20,000 kmsPetrol","20,000 kmsPetrol","₹ 7.49 Lakh
EMI @ ₹ 15,166
Bangalore"
88,"2015 Hyundai Grand i10
Sportz
90,000 kmsPetrol","90,000 kmsPetrol","₹ 4.8 Lakh
EMI @ ₹ 9,719
Bangalore"
89,"2013 BMW X1
sDrive20d
85,000 kmsDiesel","85,000 kmsDiesel","₹ 15.75 Lakh
Bangalore"
90,"2016 Maruti Baleno
1.3 Zeta
60,000 kmsDiesel","60,000 kmsDiesel","₹ 6.7 Lakh
EMI @ ₹ 13,566
Bangalore"
91,"2014 Maruti Alto 800
LXI
62,711 kmsPetrol","62,711 kmsPetrol","₹ 2.7 Lakh
Fixed Price
EMI @ ₹ 5,477"
92,"2012 Hyundai EON
D Lite Plus
35,000 kmsPetrol","35,000 kmsPetrol","₹ 2.85 Lakh
Bangalore"
93,"2018 Hyundai Creta
1.4 CRDi S
20,500 kmsDiesel","20,500 kmsDiesel","₹ 12 Lakh
EMI @ ₹ 24,298
Bangalore"
94,"2012 Hyundai i20
1.2 Sportz
60,000 kmsPetrol","60,000 kmsPetrol","₹ 3.2 Lakh
Bangalore"
95,"2011 Mercedes-Benz E-Class
E 250 Elegance
1,00,000 kmsPetrol","1,00,000 kmsPetrol","₹ 8 Lakh
Bangalore"
96,"2015 Maruti Swift
ZDI BSIV
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 5.8 Lakh
EMI @ ₹ 11,744
Bangalore"
97,"2011 Honda Jazz
S
63,902 kmsPetrol","63,902 kmsPetrol","₹ 4.5 Lakh
Bangalore"
98,"2013 BMW X1
sDrive20d
74,000 kmsDiesel","74,000 kmsDiesel","₹ 13.75 Lakh
Bangalore"
99,"2016 Volkswagen Ameo
1.5 TDI Highline AT
41,189 kmsDiesel","41,189 kmsDiesel","₹ 6.95 Lakh
EMI @ ₹ 14,072
Bangalore"
100,"2016 Maruti Swift Dzire Tour
S
1,10,000 kmsCNG","1,10,000 kmsCNG","₹ 4 Lakh
EMI @ ₹ 8,099
Bangalore"
101,"2019 BMW X1
sDrive 20d M Sport
9,110 kmsDiesel","9,110 kmsDiesel","₹ 41.5 Lakh
EMI @ ₹ 73,995
Bangalore"
102,"2016 Maruti Swift
VXI
34,800 kmsPetrol","34,800 kmsPetrol","₹ 5.95 Lakh
EMI @ ₹ 12,048
Bangalore"
103,"2017 Hyundai Creta
1.6 CRDi SX
34,000 kmsDiesel","34,000 kmsDiesel","₹ 12.5 Lakh
EMI @ ₹ 25,310
Bangalore"
104,"2012 Hyundai i10
Magna 1.1L
30,858 kmsPetrol","30,858 kmsPetrol","₹ 3.39 Lakh
Bangalore"
105,"2014 Maruti Swift
ZDI
1,15,848 kmsDiesel","1,15,848 kmsDiesel","₹ 5.1 Lakh
EMI @ ₹ 10,327
Bangalore"
106,"2012 Audi A8
4.2 TDI
50,000 kmsDiesel","50,000 kmsDiesel","₹ 35 Lakh
Bangalore"
107,"2016 Maruti Swift
VVT VXI
65,000 kmsPetrol","65,000 kmsPetrol","₹ 5.75 Lakh
EMI @ ₹ 11,643
Bangalore"
108,"2013 Hyundai EON
Era Plus
37,000 kmsPetrol","37,000 kmsPetrol","₹ 3.1 Lakh
Bangalore"
109,"2013 Hyundai i20
Sportz 1.4 CRDi
1,13,557 kmsDiesel","1,13,557 kmsDiesel","₹ 4.85 Lakh
Bangalore"
110,"2019 Hyundai Venue
SX Diesel BSIV
30,000 kmsDiesel","30,000 kmsDiesel","₹ 9.8 Lakh
EMI @ ₹ 17,474
Bangalore"
111,"2014 Mercedes-Benz E-Class
E250 CDI Avantgrade
60,000 kmsDiesel","60,000 kmsDiesel","₹ 24.75 Lakh
EMI @ ₹ 50,114
Bangalore"
112,"2015 Maruti Alto K10
VXI
30,000 kmsPetrol","30,000 kmsPetrol","₹ 3.65 Lakh
EMI @ ₹ 7,391
Bangalore"
113,"2017 Hyundai Grand i10
Asta Option AT
8,776 kmsPetrol","8,776 kmsPetrol","₹ 6.95 Lakh
EMI @ ₹ 14,072
Bangalore"
114,"2017 Hyundai Creta
1.6 VTVT SX Plus
25,000 kmsPetrol","25,000 kmsPetrol","₹ 10.5 Lakh
EMI @ ₹ 21,261
Bangalore"
115,"2014 Mercedes-Benz CLA
45 AMG
39,530 kmsPetrol","39,530 kmsPetrol","₹ 36 Lakh
EMI @ ₹ 72,894
Bangalore"
116,"2011 Mercedes-Benz M-Class
ML 350 4Matic
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 12 Lakh
Bangalore"
117,"2006 Maruti Baleno
Vxi
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2.5 Lakh
Bangalore"
118,"2018 Hyundai i20
1.4 Asta
36,000 kmsDiesel","36,000 kmsDiesel","₹ 8.6 Lakh
EMI @ ₹ 17,413
Bangalore"
119,"2010 Maruti Alto
LXi
43,070 kmsPetrol","43,070 kmsPetrol","₹ 2.23 Lakh
Bangalore"
120,"2015 Maruti Ciaz
ZXi
1,44,339 kmsPetrol","1,44,339 kmsPetrol","₹ 5.5 Lakh
EMI @ ₹ 11,137
Bangalore"
121,"2011 Maruti Ritz
VDi
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 3.33 Lakh
Bangalore"
122,"2008 Honda CR-V
2.4 MT
1,28,793 kmsPetrol","1,28,793 kmsPetrol","₹ 6.35 Lakh
Bangalore"
123,"2009 Maruti Wagon R
LXI Minor
44,000 kmsPetrol","44,000 kmsPetrol","₹ 2.1 Lakh
Bangalore"
124,"2013 Mahindra XUV500
W8 2WD
1,04,000 kmsDiesel","1,04,000 kmsDiesel","₹ 8.35 Lakh
Bangalore"
125,"2007 Honda City
GXi
90,000 kmsPetrol","90,000 kmsPetrol","₹ 2.8 Lakh
Bangalore"
126,"2011 Honda Civic
1.8 V AT
71,675 kmsPetrol","71,675 kmsPetrol","₹ 5.65 Lakh
Bangalore"
127,"2013 Chevrolet Beat
Diesel LS
43,000 kmsDiesel","43,000 kmsDiesel","₹ 2.85 Lakh
Bangalore"
128,"2017 Volkswagen Polo
GT TSI
46,700 kmsPetrol","46,700 kmsPetrol","₹ 8.35 Lakh
EMI @ ₹ 16,907
Bangalore"
129,"2016 Ford Ecosport
1.5 Diesel Titanium
60,458 kmsDiesel","60,458 kmsDiesel","₹ 8.5 Lakh
EMI @ ₹ 17,211
Bangalore"
130,"2017 Mahindra KUV 100
D75 K4 Plus 5Str
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 3.1 Lakh
EMI @ ₹ 6,277
Bangalore"
131,"2010 Maruti Swift
LXI
88,466 kmsPetrol","88,466 kmsPetrol","₹ 2.9 Lakh
Bangalore"
132,"2013 Hyundai Grand i10
Sportz
23,000 kmsPetrol","23,000 kmsPetrol","₹ 4.5 Lakh
Bangalore"
133,"2015 Maruti Celerio
ZXI AT
9,485 kmsPetrol","9,485 kmsPetrol","₹ 5.65 Lakh
EMI @ ₹ 11,440
Bangalore"
134,"2011 Maruti Swift
VDI
1,35,000 kmsDiesel","1,35,000 kmsDiesel","₹ 3.7 Lakh
Bangalore"
135,"2014 Toyota Etios Cross
1.4L VD
1,60,000 kmsDiesel","1,60,000 kmsDiesel","₹ 5 Lakh
EMI @ ₹ 10,124
Bangalore"
136,"2019 Maruti Swift
VXI
20,000 kmsPetrol","20,000 kmsPetrol","₹ 6.19 Lakh
EMI @ ₹ 11,037
Bangalore"
137,"2014 Skoda Octavia
Ambition 2.0 TDI AT
86,480 kmsDiesel","86,480 kmsDiesel","₹ 14.5 Lakh
EMI @ ₹ 29,360
Bangalore"
138,"2015 Hyundai Xcent
1.1 CRDi SX
90,000 kmsDiesel","90,000 kmsDiesel","₹ 2.99 Lakh
EMI @ ₹ 6,054
Bangalore"
139,"2015 Maruti Celerio
VXI AT
17,042 kmsPetrol","17,042 kmsPetrol","₹ 4.39 Lakh
EMI @ ₹ 8,889
Bangalore"
140,"2010 Hyundai Grand i10
Sportz 1.2
89,919 kmsPetrol","89,919 kmsPetrol","₹ 2.94 Lakh
Bangalore"
