,model,km,cost
0,"2014 Maruti Alto 800
LXI
18,778 kmsPetrol","18,778 kmsPetrol","₹ 2.92 Lakh
Fixed Price
EMI @ ₹ 5,908"
1,"2018 Maruti Celerio
ZXI
17,223 kmsPetrol","17,223 kmsPetrol","₹ 5.31 Lakh
Fixed Price
EMI @ ₹ 10,743"
2,"2016 Honda Jazz
V CVT
37,709 kmsPetrol","37,709 kmsPetrol","₹ 6.6 Lakh
Fixed Price
EMI @ ₹ 13,364"
3,"2014 Hyundai i20
Asta 1.2
40,531 kmsPetrol","40,531 kmsPetrol","₹ 6.01 Lakh
Fixed Price
EMI @ ₹ 12,173"
4,"2017 Volvo S60
D4 Momentum BSIV
36,738 kmsDiesel","36,738 kmsDiesel","₹ 23.5 Lakh
EMI @ ₹ 47,583
Bangalore"
5,"2013 Hyundai Santa Fe
4X4
72,851 kmsDiesel","72,851 kmsDiesel","₹ 12.25 Lakh
Bangalore"
6,"2018 Renault KWID
Climber 1.0 AMT BSIV
12,180 kmsPetrol","12,180 kmsPetrol","₹ 4.74 Lakh
Fixed Price
EMI @ ₹ 9,588"
7,"2016 Hyundai Grand i10
Sportz
28,974 kmsPetrol","28,974 kmsPetrol","₹ 5.08 Lakh
Fixed Price
EMI @ ₹ 10,286"
8,"2016 Maruti Eeco
5 Seater AC
8,555 kmsPetrol","8,555 kmsPetrol","₹ 3.79 Lakh
Fixed Price
EMI @ ₹ 7,664"
9,"2018 Hyundai Grand i10
1.2 Kappa Asta
8,266 kmsPetrol","8,266 kmsPetrol","₹ 6.34 Lakh
Fixed Price
EMI @ ₹ 12,847"
10,"2018 Mercedes-Benz GLE Class
250d
49,000 kmsDiesel","49,000 kmsDiesel","₹ 54.95 Lakh
EMI @ ₹ 1.11 Lakh
Bangalore"
11,"2016 Ford Endeavour
3.2 Trend AT 4X4
66,000 kmsDiesel","66,000 kmsDiesel","₹ 29.89 Lakh
EMI @ ₹ 60,522
Bangalore"
12,"2019 Kia Seltos
HTK Plus G
4,236 kmsPetrol","4,236 kmsPetrol","₹ 13.31 Lakh
Fixed Price
EMI @ ₹ 23,725"
13,"2015 Maruti Celerio
VXI AMT BSIV
39,538 kmsPetrol","39,538 kmsPetrol","₹ 4.24 Lakh
Fixed Price
EMI @ ₹ 8,575"
14,"2019 Maruti Eeco
5 Seater AC BSIV
6,367 kmsPetrol","6,367 kmsPetrol","₹ 4.45 Lakh
Fixed Price
EMI @ ₹ 7,925"
15,"2017 Maruti Swift
VXI
40,144 kmsPetrol","40,144 kmsPetrol","₹ 5.78 Lakh
Fixed Price
EMI @ ₹ 11,703"
16,"2019 Hyundai Grand i10
1.2 Kappa Sportz BSIV
9,369 kmsPetrol","9,369 kmsPetrol","₹ 5.91 Lakh
EMI @ ₹ 10,529
Bangalore"
17,"2010 Hyundai i10
Magna 1.2 iTech SE
20,000 kmsPetrol","20,000 kmsPetrol","₹ 4.15 Lakh
Bangalore"
18,"2019 Honda Jazz
VX CVT
11,625 kmsPetrol","11,625 kmsPetrol","₹ 7.93 Lakh
EMI @ ₹ 14,139
Bangalore"
19,"2018 Mercedes-Benz CLA
200 CDI Sport
4,700 kmsDiesel","4,700 kmsDiesel","₹ 32 Lakh
EMI @ ₹ 64,794
Bangalore"
20,"2015 Maruti Swift
VXI
55,825 kmsPetrol","55,825 kmsPetrol","₹ 5.75 Lakh
EMI @ ₹ 11,643
Bangalore"
21,"2017 Maruti Swift Dzire
AMT VDI
39,000 kmsDiesel","39,000 kmsDiesel","₹ 7.5 Lakh
EMI @ ₹ 15,186
Bangalore"
22,"2016 Maruti Swift Dzire
AMT ZDI
59,000 kmsDiesel","59,000 kmsDiesel","₹ 6.5 Lakh
EMI @ ₹ 13,161
Bangalore"
23,"2014 Honda Brio
VX AT
80,000 kmsPetrol","80,000 kmsPetrol","₹ 5.25 Lakh
EMI @ ₹ 10,630
Bangalore"
24,"2016 Hyundai Xcent
1.2 Kappa SX Option
44,000 kmsPetrol","44,000 kmsPetrol","₹ 5.2 Lakh
EMI @ ₹ 10,529
Bangalore"
25,"2017 Maruti Baleno
1.2 Alpha
24,600 kmsPetrol","24,600 kmsPetrol","₹ 7.95 Lakh
EMI @ ₹ 16,097
Bangalore"
26,"2018 Maruti Baleno
1.3 Alpha
60,000 kmsDiesel","60,000 kmsDiesel","₹ 8.21 Lakh
EMI @ ₹ 16,624
Bangalore"
27,"2012 Mahindra XUV500
W8 AWD
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 6.75 Lakh
Bangalore"
28,"2016 Maruti Swift
ZDI BSIV
82,000 kmsDiesel","82,000 kmsDiesel","₹ 7.4 Lakh
EMI @ ₹ 14,984
Bangalore"
29,"2006 Hyundai Santro Xing
XL eRLX Euro II
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2.35 Lakh
Bangalore"
30,"2011 Toyota Innova
2.5 G (Diesel) 7 Seater BS IV
70,000 kmsDiesel","70,000 kmsDiesel","₹ 9 Lakh
Bangalore"
31,"2014 Skoda Rapid
1.5 TDI Elegance Plus
67,800 kmsDiesel","67,800 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
Bangalore"
32,"2011 Hyundai i10
Sportz AT
86,000 kmsPetrol","86,000 kmsPetrol","₹ 3.35 Lakh
Bangalore"
33,"2017 Maruti Ignis
Delta AMT
13,410 kmsPetrol","13,410 kmsPetrol","₹ 6.1 Lakh
Fixed Price
EMI @ ₹ 12,351"
34,"2007 Maruti Wagon R
LXI Minor
1,14,754 kmsPetrol","1,14,754 kmsPetrol","₹ 2.35 Lakh
Bangalore"
35,"2013 Hyundai Verna
1.6 SX VTVT AT
60,000 kmsPetrol","60,000 kmsPetrol","₹ 5.6 Lakh
Bangalore"
36,"2015 Mercedes-Benz GLA Class
200 CDI SPORT
24,905 kmsDiesel","24,905 kmsDiesel","₹ 23.75 Lakh
EMI @ ₹ 48,089
Bangalore"
37,"2016 Datsun GO
T
44,682 kmsPetrol","44,682 kmsPetrol","₹ 3.75 Lakh
EMI @ ₹ 7,593
Bangalore"
38,"2016 Hyundai i10
Sportz 1.1L
35,000 kmsPetrol","35,000 kmsPetrol","₹ 4.65 Lakh
EMI @ ₹ 9,415
Bangalore"
39,"2005 Mahindra Scorpio
2.6 CRDe
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 3.9 Lakh
Bangalore"
40,"2006 Chevrolet Tavera
B2-10 seats BSIII
1,50,000 kmsDiesel","1,50,000 kmsDiesel","₹ 3.2 Lakh
Bangalore"
41,"2013 Volkswagen Vento
Diesel Highline
47,000 kmsDiesel","47,000 kmsDiesel","₹ 6.3 Lakh
Bangalore"
42,"2016 Toyota Innova Crysta
2.4 ZX MT
69,000 kmsDiesel","69,000 kmsDiesel","₹ 17.55 Lakh
EMI @ ₹ 35,536
Bangalore"
43,"2010 Hyundai Santro Xing
GLS Audio LPG
84,000 kmsLPG","84,000 kmsLPG","₹ 1.8 Lakh
Bangalore"
44,"2015 Honda Jazz
1.2 V i VTEC Privilege
80,000 kmsPetrol","80,000 kmsPetrol","₹ 5.35 Lakh
EMI @ ₹ 10,833
Bangalore"
45,"2011 Volkswagen Jetta
2.0L TDI Comfortline
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 4.5 Lakh
Bangalore"
46,"2007 Honda City
GXi
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2.9 Lakh
Bangalore"
47,"2018 Maruti Baleno
1.2 Zeta
29,155 kmsPetrol","29,155 kmsPetrol","₹ 7.03 Lakh
Fixed Price
EMI @ ₹ 14,224"
48,"2010 Toyota Innova
2.5 VX (Diesel) 7 Seater BS IV
87,000 kmsDiesel","87,000 kmsDiesel","₹ 8.5 Lakh
Bangalore"
