,model,location,km,cost
48,"Maruti Suzuki Swift 2018 VXI, 2019, Petrol","NEW GURGAON, GURGAON","2011 - 77,000 km","₹ 6,25,000"
49,Hyundai Xcent 2015 LPG & petrol Well Maintained,"AKKAYYAPALEM, VISAKHAPATNAM","2017 - 49,000 km","₹ 3,65,000"
50,Chevrolet Cruze 2011 Diesel Well Maintained,"PN PALYAM, COIMBATORE","2011 - 57,000 km","₹ 4,40,000"
51,Renault Lodgy 2017,"NIWARU ROAD, JAIPUR","2006 - 25,840 km","₹ 8,50,000"
52,Maruti Suzuki Alto K10 2011,"MIRA ROAD EAST, MUMBAI","2020 - 29,000 km","₹ 2,30,000"
53,"Maruti Suzuki Omni 5 Seater, 2006, Petrol","VANTAVARI COLONY, ONGOLE","2015 - 37,000 km","₹ 1,45,000"
54,"Kia Seltos HTX IVT G, 2020, Petrol","BAKARAM, HYDERABAD","2010 - 158,000 km","₹ 15,75,000"
55,"Maruti Suzuki Swift VVT VXI, 2015, Petrol","RK LAYOUT 2ND STAGE, BENGALURU","2010 - 110,000 km","₹ 3,95,000"
56,"Ford Ikon 1.4 TDCi DuraTorq, 2010, Diesel","VIKASPURI, DELHI","2011 - 56,000 km","₹ 1,47,000"
57,Mahindra Scorpio 2010 Diesel 110000 Km Driven,"BELTOLA, GUWAHATI","2011 - 117,000 km","₹ 3,60,000"
58,"Hyundai Accent GLE, 2011, Petrol","KOYAMBEDU, CHENNAI","2009 - 92,000 km","₹ 2,55,000"
59,Volkswagen Vento 2011 Diesel 117000 Km Driven,"THOOTHUKUDI, TUTICORIN","2011 - 126,000 km","₹ 2,30,000"
60,HAROON KHOKAR,"KAMAKSHIPALYA, BENGALURU","2015 - 2,100 km","₹ 2,90,000"
61,"Maruti Suzuki Swift Dzire VDI, 2011, Diesel","QILA REHMATGARH, MALERKOTLA","2009 - 129,435 km","₹ 3,25,000"
62,John Deere tractor 5041c,"INDUSTRIAL AREA PHATEPUR, FATEHPUR","2011 - 57,000 km","₹ 4,25,000"
63,Car DVD Audio player tep,"MULUND WEST, MUMBAI","2006 - 25,840 km","₹ 2,500"
64,Maruti Suzuki Alto K10 2009,"BERLA, CHHATTISGARH","2010 - 110,000 km","₹ 1,40,000"
65,Maruti Suzuki Alto K10 2011,"CHINCHWAD KAKDE TOWNSHIP, PUNE","2020 - 19,000 km","₹ 2,30,000"
66,"Maruti Suzuki Omni 5 Seater, 2006, Petrol","PRAKASH NAGARAM, MANGALAGIRI","2014 - 64,260 km","₹ 1,45,000"
67,Mahindra Scorpio 2010 Diesel 110000 Km Driven,"GARHA TOLI, LOHARDAGA","2018 - 40,000 km","₹ 3,60,000"
68,"MG Hector Sharp AT, 2020, Petrol","BAKARAM, HYDERABAD","2013 - 47,500 km","₹ 19,50,000"
69,Well maintained wegnar car All papers completed Full insurance,"RK LAYOUT 2ND STAGE, BENGALURU","2016 - 40,300 km","₹ 1,15,000"
70,Maruti Suzuki Vitara Brezza 2018 Diesel Good Condition,"THOOTHUKUDI, TUTICORIN","2014 - 62,500 km","₹ 7,80,000"
71,"Maruti Suzuki Alto K10 VXI, 2013, Petrol","NEW GURGAON, GURGAON","2011 - 52,000 km","₹ 1,90,000"
72,"Ford Ecosport 1.5 Petrol Titanium Plus AT, 2016, Petrol","AVADE NAGAR, NAGPUR","2000 - 140,000 km","₹ 7,25,000"
73,"Hyundai i20 1.4 Sportz, 2014, Diesel","NANAK NAGAR, JAMMU","2014 - 59,000 km","₹ 4,71,000"
74,"Hyundai I20 Sportz 1.2, 2011, Petrol","CHAUK, LUCKNOW","2012 - 74,000 km","₹ 3,50,000"
75,Toyota Qualis 2000 Diesel,"BALITHA, VAPI","2012 - 124,000 km","₹ 1,10,000"
76,"Maruti Suzuki Wagon R 1.0 LXi CNG, 2014, CNG &amp; Hybrids","BORIVALI EAST, MUMBAI","1991 - 99,659 km","₹ 3,40,000"
77,"Toyota Etios Liva 1.4 GD, 2012, Diesel","BHOSARI, PUNE",₹ 8000 - 18000 | Monthly,"₹ 4,55,000"
78,We Deal in all types of cars spare parts,"ANDHERI WEST, MUMBAI","2014 - 87,000 km","₹ 10,000"
79,Toyota Fortuner 2012 Diesel 124000 Km Driven,"KALYAN, THANE","2015 - 220,000 km","₹ 11,50,000"
80,"Maruti Suzuki 800 Std, 1991, Petrol","BALKAMPET, HYDERABAD","2015 - 140,580 km","₹ 45,000"
81,Car loans for HDFC Bank,"ALI COLONY, INDORE","2012 - 55,782 km","₹ 6,500"
82,Car music player,"SURAJMAL VIHAR, DELHI","2016 - 66,910 km","₹ 6,75,000"
83,"Mahindra Scorpio 2009-2014 VLX 2WD BSIII, 2014, Diesel","BHOGADI STAGE 2 TELECOM LAYOUT, MYSURU","2014 - 40,000 km","₹ 6,90,000"
84,New insurance,"HIMAYAT NAGAR, HYDERABAD","2010 - 50,824 km","₹ 4,40,000"
85,Toyota Etios 2015 Diesel 140580 Km Driven,"NAGARJUNA NAGAR COLONY, NASPUR","2009 - 66,000 km","₹ 2,90,000"
86,Tata Safari 2012 Diesel Well Maintained,"PAWANE GAON, NAVI MUMBAI","2010 - 57,000 km","₹ 6,31,000"
87,"Honda City 2015-2017 i VTEC VX Option, 2016, Petrol","BAWARI GATE, NAWALGARH","2017 - 72,784 km","₹ 3,35,000"
88,"Hyundai Grand i10 1.2 Kappa Sportz Option, 2014, Petrol","SANGRA MOHALLA, ADAMPUR","2012 - 122,739 km","₹ 3,10,000"
89,"Hyundai i10 1.2 Kappa Magna, 2010, Petrol","MALVIYA NAGAR, ALLAHABAD","2011 - 90,000 km","₹ 2,80,000"
90,"Maruti Suzuki Wagon R LXI, 2009, Petrol","JARIPATKA, NAGPUR","2019 - 40,000 km","₹ 2,25,000"
91,"Maruti Suzuki Omni 5 Seater, 2010, Petrol","ULTADANGA, KOLKATA","2006 - 92,358 km","₹ 4,27,917"
92,"Maruti Suzuki Swift LXI Option, 2017, CNG & Hybrids","KAVURI HILLS, HYDERABAD","2014 - 92,000 km","₹ 3,70,000"
93,"Ford Fiesta, 2012, Diesel","RAMNAGAR, COIMBATORE","2007 - 81,000 km","₹ 1,70,000"
94,Hyundai Santro Xing 2011 CNG &amp;amp;amp; Hybrids,"GOKULAM, MYSURU","2011 - 117,258 km","₹ 5,50,000"
95,Maruti Suzuki Swift Dzire 2019 CNG &amp; Hybrids,"CYBER CITY, GURGAON","2004 - 165,544 km","₹ 3,000"
96,Spacious car parking for rent,"RAJAJI NAGAR, BENGALURU",3 Bds - 2 Ba - 600 ft2,"₹ 1,00,000"
97,"Maruti Suzuki Wagon R 1.0 LXi, 2006, Petrol","NAJAFGARH, DELHI","2006 - 3,000 km","₹ 3,40,000"
98,Maruti Suzuki Swift 2014 Diesel 92000 Km Driven,"POWAI, MUMBAI","2010 - 20,000 km","₹ 2,65,000"
99,"Maruti Suzuki Swift VXI, 2007, Petrol","USMAN PURA, HYDERABAD","2018 - 49,000 km","₹ 2,16,000"
100,"Chevrolet Tavera LS 10 Str BS IV, 2011, Diesel","ASHRAM ROAD, AHMEDABAD","2009 - 102,354 km","₹ 90,000"
101,Hyundai Santro Xing 2004,"ISAPUR, BILSANDA","1999 - 94,440 km","₹ 29,00,000"
102,2BHK with car parking &amp; Lift,"KAMAKSHIPALYA, BENGALURU","2017 - 16,000 km","₹ 60,000"
103,Hyundai Santro Xing 15 LPG Well Maintained,"ASHRAM ROAD, AHMEDABAD","2017 - 10,000 km","₹ 39,999"
104,Bajaj auto paper ok 3 new tiar all inging new warck,"ANNKHOYAM, MANJERI","2010 - 100,000 km","₹ 4,50,000"
105,Maruti Suzuki Ignis 2018 Petrol 49000 Km Driven,"UTTAM NAGAR, DELHI","2018 - 78,000 km","₹ 3,50,000"
106,Maruti Suzuki Swift 2009 Diesel Well Maintained,"GURUDAHA, BADURIA","2008 - 115,000 km","₹ 50,000"
107,Maruti Suzuki 800 1999 Petrol 94440 Km Driven,"MAGRAHAT, BILANDAPUR","2017 - 33,498 km","₹ 3,10,000"
108,Hyundai EON 2017 16000 Km Driven,"GHODA NIKAS, JAIPUR","2018 - 40,000 km","₹ 30,00,000"
109,"Mercedes-Benz GLA Class 200 d Sport, 2017, Diesel","DODDANEKUNDI, BENGALURU","2014 - 70,000 km","₹ 3,50,000"
110,Ford Endeavour 2010 Diesel 100000 Km Driven,"ADHARTAL, JABALPUR","2006 - 215,000 km","₹ 6,95,000"
111,"Maruti Suzuki Ertiga, 2018, Diesel","BHAGAT VIHAR, DELHI","2009 - 87,523 km","₹ 3,10,000"
112,"Toyota Corolla Altis 1.8 G, 2008, Petrol","RAM NAGAR, COIMBATORE","2008 - 70,000 km","₹ 5,30,000"
113,"Nissan Micra XL CVT, 2017, Petrol","BODALWALA, JAGRAON","2008 - 80,000 km","₹ 46,00,000"
114,Mercedes-Benz E-Class 2018 Diesel,"AVACHIT PADA, BHIWANDI","2004 - 260,000 km","₹ 1,85,000"
115,Ford Figo 2014 Petrol,"BAMBOO BAZAAR, MYSURU","2014 - 78,000 km","₹ 5,00,000"
116,Toyota Innova Diesel 215000 Km Driven,"CHAVITTUVARY, KOTTAYAM","2011 - 86,500 km","₹ 1,45,000"
