,model,km,cost
36,"2009 Toyota Innova
2.5 G4 Diesel 8-seater
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 3.5 Lakh
Gurgaon"
37,"2010 Volkswagen Polo
Petrol Highline 1.2L
70,000 kmsPetrol","70,000 kmsPetrol","₹ 2.4 Lakh
Gurgaon"
38,"2013 Toyota Fortuner
4x4 MT
1,65,000 kmsDiesel","1,65,000 kmsDiesel","₹ 12.5 Lakh
Noida"
39,"2011 Maruti Ritz
LDi
89,520 kmsDiesel","89,520 kmsDiesel","₹ 1.65 Lakh
Ghaziabad"
40,"2016 Maruti Celerio
ZXI AT
59,374 kmsPetrol","59,374 kmsPetrol","₹ 4.45 Lakh
EMI @ ₹ 9,010
Faridabad"
41,"2015 Honda Amaze
EX i-Vtech
65,000 kmsPetrol","65,000 kmsPetrol","₹ 3.95 Lakh
EMI @ ₹ 7,998
New Delhi"
42,"2017 Ford Figo Aspire
1.2 Ti-VCT Titanium
50,000 kmsPetrol","50,000 kmsPetrol","₹ 4.9 Lakh
EMI @ ₹ 9,922
Ghaziabad"
43,"2017 Honda City
i VTEC CVT VX
63,000 kmsPetrol","63,000 kmsPetrol","₹ 9 Lakh
EMI @ ₹ 18,223
Ghaziabad"
44,"2015 Toyota Fortuner
4x2 AT
80,000 kmsDiesel","80,000 kmsDiesel","₹ 18 Lakh
EMI @ ₹ 36,447
New Delhi"
45,"2012 Volkswagen Polo
Diesel Trendline 1.2L
90,000 kmsDiesel","90,000 kmsDiesel","₹ 2.2 Lakh
Faridabad"
46,"2017 Honda City
i VTEC S
65,234 kmsPetrol","65,234 kmsPetrol","₹ 7.75 Lakh
EMI @ ₹ 15,692
Ghaziabad"
47,"2020 Maruti Alto 800
LXI
6,500 kmsPetrol","6,500 kmsPetrol","₹ 3.65 Lakh
EMI @ ₹ 5,887
Noida"
48,"2018 Maruti Baleno
1.3 Zeta
45,000 kmsDiesel","45,000 kmsDiesel","₹ 7 Lakh
EMI @ ₹ 14,174
Faridabad"
49,"2016 Maruti Ciaz
VDI SHVS
50,000 kmsDiesel","50,000 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
Ghaziabad"
50,"2018 Toyota Innova Crysta
2.4 VX MT BSIV
49,500 kmsDiesel","49,500 kmsDiesel","₹ 17.2 Lakh
EMI @ ₹ 34,827
Gurgaon"
51,"2011 Volkswagen Vento
Petrol Trendline
78,000 kmsPetrol","78,000 kmsPetrol","₹ 3 Lakh
Faridabad"
52,"2014 Hyundai Grand i10
CRDi Sportz
65,000 kmsDiesel","65,000 kmsDiesel","₹ 3.5 Lakh
EMI @ ₹ 7,087
New Delhi"
53,"2012 Maruti Ertiga
ZDI
80,000 kmsDiesel","80,000 kmsDiesel","₹ 5 Lakh
Ghaziabad"
54,"2013 Toyota Innova
2.5 G (Diesel) 7 Seater BS IV
2,39,252 kmsDiesel","2,39,252 kmsDiesel","₹ 6 Lakh
New Delhi"
55,"2014 Hyundai Grand i10
Sportz
40,000 kmsPetrol","40,000 kmsPetrol","₹ 3.5 Lakh
EMI @ ₹ 7,087
Faridabad"
56,"2010 Ford Endeavour
2.5L 4X2 MT
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 5.5 Lakh
Gurgaon"
57,"2016 Maruti Ciaz
RS ZDi Plus SHVS
60,000 kmsDiesel","60,000 kmsDiesel","₹ 7 Lakh
EMI @ ₹ 14,174
New Delhi"
58,"2016 Maruti Baleno
Zeta CVT
29,000 kmsPetrol","29,000 kmsPetrol","₹ 6.11 Lakh
EMI @ ₹ 12,372
New Delhi"
59,"2016 Mahindra TUV 300
T8
55,078 kmsDiesel","55,078 kmsDiesel","₹ 6.55 Lakh
EMI @ ₹ 13,263
Faridabad"
60,"2016 Maruti Wagon R
AMT VXI Option
51,090 kmsPetrol","51,090 kmsPetrol","₹ 3.65 Lakh
EMI @ ₹ 7,391
Faridabad"
61,"2015 Maruti Wagon R
VXI BS IV with ABS
10,000 kmsPetrol","10,000 kmsPetrol","₹ 4.2 Lakh
EMI @ ₹ 8,504
Gurgaon"
62,"2015 Maruti Ciaz
ZDi Plus
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 5.25 Lakh
EMI @ ₹ 10,630
New Delhi"
63,"2011 Mercedes-Benz E-Class
E 220 CDI Avantgarde
83,000 kmsDiesel","83,000 kmsDiesel","₹ 7.9 Lakh
New Delhi"
64,"2016 Jaguar XJ
2.0L Portfolio
33,000 kmsPetrol","33,000 kmsPetrol","₹ 46.95 Lakh
EMI @ ₹ 95,065
Gurgaon"
65,"2009 Maruti Alto
LXi
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.2 Lakh
Gurgaon"
66,"2017 Honda Amaze
SX i DTEC
71,000 kmsDiesel","71,000 kmsDiesel","₹ 5.25 Lakh
EMI @ ₹ 10,630
Faridabad"
67,"2013 Maruti Swift Dzire
VDI
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 3.85 Lakh
Gurgaon"
68,"2017 Honda City
i DTec VX
73,000 kmsDiesel","73,000 kmsDiesel","₹ 8 Lakh
EMI @ ₹ 16,199
Noida"
69,"2019 Maruti S-Presso
VXI Plus
8,600 kmsPetrol","8,600 kmsPetrol","₹ 4 Lakh
EMI @ ₹ 7,132
New Delhi"
70,"2014 Mahindra XUV500
W8 2WD
70,000 kmsDiesel","70,000 kmsDiesel","₹ 8 Lakh
EMI @ ₹ 16,199
Noida"
71,"2014 Mahindra XUV500
W4
70,000 kmsDiesel","70,000 kmsDiesel","₹ 5.5 Lakh
EMI @ ₹ 11,137
New Delhi"
72,"2008 Honda City
GXi
65,000 kmsPetrol","65,000 kmsPetrol","₹ 2.5 Lakh
Noida"
73,"2017 Maruti Ciaz
VDi Option SHVS
56,000 kmsDiesel","56,000 kmsDiesel","₹ 6.25 Lakh
EMI @ ₹ 12,655
Ghaziabad"
74,"2011 Toyota Innova
2.5 VX 7 STR BSIV
60,000 kmsDiesel","60,000 kmsDiesel","₹ 4.98 Lakh
Faridabad"
75,"2018 Maruti Ciaz
Alpha BSIV
34,000 kmsPetrol","34,000 kmsPetrol","₹ 9.25 Lakh
EMI @ ₹ 18,730
New Delhi"
76,"2012 Audi A4
New 2.0 TDI Multitronic
88,000 kmsDiesel","88,000 kmsDiesel","₹ 8.5 Lakh
New Delhi"
77,"2014 Mahindra Scorpio
1.99 S10
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 7.5 Lakh
EMI @ ₹ 15,186
Ghaziabad"
78,"2015 Maruti Swift
LXI Option
93,000 kmsPetrol","93,000 kmsPetrol","₹ 4 Lakh
EMI @ ₹ 8,099
New Delhi"
79,"2016 Hyundai Creta
1.4 CRDi S Plus
63,000 kmsDiesel","63,000 kmsDiesel","₹ 8 Lakh
EMI @ ₹ 16,199
Faridabad"
80,"2013 Jaguar XF
2.2 Litre Executive
79,000 kmsDiesel","79,000 kmsDiesel","₹ 17.45 Lakh
New Delhi"
81,"2017 Maruti Ciaz
VDI SHVS
1,25,000 kmsDiesel","1,25,000 kmsDiesel","₹ 5.5 Lakh
EMI @ ₹ 11,137
Gurgaon"
82,"2015 Honda Amaze
SX i-VTEC
40,000 kmsPetrol","40,000 kmsPetrol","₹ 3.5 Lakh
EMI @ ₹ 7,087
New Delhi"
83,"2013 Volkswagen Polo
Diesel Highline 1.2L
1,40,256 kmsDiesel","1,40,256 kmsDiesel","₹ 1.65 Lakh
New Delhi"
84,"2013 Maruti Swift
VXI
58,000 kmsPetrol","58,000 kmsPetrol","₹ 3.6 Lakh
Faridabad"
85,"2012 Honda Jazz
Select Edition
75,000 kmsPetrol","75,000 kmsPetrol","₹ 3.8 Lakh
Ghaziabad"
86,"2010 Hyundai Grand i10
Magna 1.1
62,000 kmsPetrol","62,000 kmsPetrol","₹ 1.75 Lakh
New Delhi"
87,"2012 Skoda Rapid
1.6 TDI Elegance
75,000 kmsDiesel","75,000 kmsDiesel","₹ 2.75 Lakh
Ghaziabad"
88,"2017 Maruti Ciaz
Delta Diesel
70,000 kmsDiesel","70,000 kmsDiesel","₹ 6.45 Lakh
EMI @ ₹ 13,060
Gurgaon"
89,"2014 Renault Duster
Adventure Edition
80,000 kmsDiesel","80,000 kmsDiesel","₹ 5.1 Lakh
EMI @ ₹ 10,327
Greater Noida"
90,"2013 Maruti Eeco
5 Seater AC BSIV
1,20,000 kmsPetrol","1,20,000 kmsPetrol","₹ 1.8 Lakh
Gurgaon"
91,"2017 Maruti Swift Dzire
LXI 1.2 BS IV
50,000 kmsPetrol","50,000 kmsPetrol","₹ 5.5 Lakh
EMI @ ₹ 11,137
Gurgaon"
92,"2012 Maruti Swift
VDI
80,000 kmsDiesel","80,000 kmsDiesel","₹ 3 Lakh
Gurgaon"
93,"2011 Skoda Superb
1.8 TSI MT
67,000 kmsPetrol","67,000 kmsPetrol","₹ 3.5 Lakh
New Delhi"
94,"2016 Renault KWID
RXL
45,000 kmsPetrol","45,000 kmsPetrol","₹ 2.5 Lakh
EMI @ ₹ 5,062
Gurgaon"
95,"2011 Chevrolet Cruze
LTZ
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 2.5 Lakh
Gurgaon"
96,"2020 Maruti SX4 S Cross
Alpha
6,600 kmsPetrol","6,600 kmsPetrol","₹ 10.8 Lakh
EMI @ ₹ 17,419
New Delhi"
97,"2016 Hyundai i20
Sportz Option 1.2
57,206 kmsPetrol","57,206 kmsPetrol","₹ 5.78 Lakh
EMI @ ₹ 11,699
New Delhi"
98,"2013 Mahindra Ssangyong Rexton
RX7
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 7.25 Lakh
Noida"
99,"2014 Honda Amaze
EX i-Dtech
65,238 kmsDiesel","65,238 kmsDiesel","₹ 3.49 Lakh
EMI @ ₹ 7,067
New Delhi"
100,"2012 Honda Brio
S Option MT
65,010 kmsPetrol","65,010 kmsPetrol","₹ 2.58 Lakh
New Delhi"
101,"2019 Honda City
i-VTEC CVT ZX
30,000 kmsPetrol","30,000 kmsPetrol","₹ 12.5 Lakh
EMI @ ₹ 22,288
New Delhi"
102,"2017 Maruti Vitara Brezza
LDi
30,000 kmsDiesel","30,000 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
Faridabad"
103,"2019 Toyota Glanza
V CVT
11,276 kmsPetrol","11,276 kmsPetrol","₹ 8.35 Lakh
EMI @ ₹ 14,888
Faridabad"
104,"2012 Hyundai i10
Era
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2 Lakh
Gurgaon"
105,"2012 Volkswagen Vento
Diesel Trendline
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 2.25 Lakh
Ghaziabad"
106,"2013 Hyundai i20
Sportz 1.4 CRDi
94,121 kmsDiesel","94,121 kmsDiesel","₹ 3.6 Lakh
Gurgaon"
107,"2015 Maruti Alto K10
VXI AMT
39,833 kmsPetrol","39,833 kmsPetrol","₹ 3.02 Lakh
Fixed Price
EMI @ ₹ 6,105"
108,"2013 Hyundai Verna
1.6 SX CRDi (O)
97,000 kmsDiesel","97,000 kmsDiesel","₹ 4.1 Lakh
Gurgaon"
109,"2015 Maruti Swift Dzire
VXI
70,000 kmsPetrol","70,000 kmsPetrol","₹ 4 Lakh
EMI @ ₹ 8,099
Gurgaon"
110,"2016 Honda City
i DTec VX Option
65,000 kmsDiesel","65,000 kmsDiesel","₹ 7.5 Lakh
EMI @ ₹ 15,186
Noida"
111,"2020 Kia Seltos
GTK
9,000 kmsPetrol","9,000 kmsPetrol","₹ 12.95 Lakh
EMI @ ₹ 20,887
New Delhi"
112,"2019 Maruti Wagon R
ZXI 1.2
28,500 kmsPetrol","28,500 kmsPetrol","₹ 4.84 Lakh
EMI @ ₹ 8,630
Gurgaon"
113,"2015 Hyundai Creta
1.6 SX Automatic Diesel
90,000 kmsDiesel","90,000 kmsDiesel","₹ 8.25 Lakh
EMI @ ₹ 16,705
Faridabad"
114,"2008 Hyundai Santro Xing
GL Plus
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.11 Lakh
New Delhi"
115,"2016 Maruti Swift Dzire
VXi
16,000 kmsPetrol","16,000 kmsPetrol","₹ 5 Lakh
EMI @ ₹ 10,124
New Delhi"
116,"2016 Maruti Vitara Brezza
LDi Option
32,000 kmsDiesel","32,000 kmsDiesel","₹ 6.25 Lakh
EMI @ ₹ 12,655
Gurgaon"
117,"2020 Renault Triber
RXZ
6,500 kmsPetrol","6,500 kmsPetrol","₹ 7.2 Lakh
EMI @ ₹ 11,613
Noida"
118,"2010 Chevrolet Aveo U-VA
1.2
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.15 Lakh
Gurgaon"
119,"2018 Honda Amaze
VX CVT Diesel BSIV
20,000 kmsDiesel","20,000 kmsDiesel","₹ 8 Lakh
EMI @ ₹ 16,199
New Delhi"
120,"2011 Hyundai Santro Xing
GL
50,000 kmsPetrol","50,000 kmsPetrol","₹ 1.8 Lakh
Faridabad"
121,"2016 Maruti Vitara Brezza
VDi Option
61,000 kmsDiesel","61,000 kmsDiesel","₹ 6.5 Lakh
EMI @ ₹ 13,161
Faridabad"
122,"2020 Kia Carnival
Limousine
19,000 kmsDiesel","19,000 kmsDiesel","₹ 31.85 Lakh
EMI @ ₹ 51,371
Gurgaon"
123,"2012 Hyundai Verna
1.6 SX CRDi (O)
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 3.7 Lakh
Gurgaon"
124,"2013 Ford Figo
Diesel LXI
76,190 kmsDiesel","76,190 kmsDiesel","₹ 2.35 Lakh
Gurgaon"
125,"2014 Nissan Terrano
XV 110 PS
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
Noida"
126,"2010 Skoda Laura
2.0 TDI AT L and K
70,000 kmsDiesel","70,000 kmsDiesel","₹ 3 Lakh
Gurgaon"
127,"2010 Maruti Wagon R
LXI BS IV
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.8 Lakh
New Delhi"
128,"2016 Honda City
i VTEC SV
85,000 kmsPetrol","85,000 kmsPetrol","₹ 7.5 Lakh
EMI @ ₹ 15,186
Greater Noida"
129,"2012 Hyundai i20
Magna Optional 1.2
85,000 kmsPetrol","85,000 kmsPetrol","₹ 3.25 Lakh
New Delhi"
130,"2016 Maruti Vitara Brezza
LDi Option
32,000 kmsDiesel","32,000 kmsDiesel","₹ 6.25 Lakh
EMI @ ₹ 12,655
Gurgaon"
131,"2020 Renault Triber
RXZ
6,500 kmsPetrol","6,500 kmsPetrol","₹ 7.2 Lakh
EMI @ ₹ 11,613
Noida"
132,"2010 Chevrolet Aveo U-VA
1.2
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.15 Lakh
Gurgaon"
133,"2018 Honda Amaze
VX CVT Diesel BSIV
20,000 kmsDiesel","20,000 kmsDiesel","₹ 8 Lakh
EMI @ ₹ 16,199
New Delhi"
134,"2011 Hyundai Santro Xing
GL
50,000 kmsPetrol","50,000 kmsPetrol","₹ 1.8 Lakh
Faridabad"
135,"2016 Maruti Vitara Brezza
VDi Option
61,000 kmsDiesel","61,000 kmsDiesel","₹ 6.5 Lakh
EMI @ ₹ 13,161
Faridabad"
136,"2017 Hyundai Grand i10
1.2 CRDi Magna
75,000 kmsDiesel","75,000 kmsDiesel","₹ 3.9 Lakh
EMI @ ₹ 7,897
Gurgaon"
137,"2020 Kia Carnival
Limousine
19,000 kmsDiesel","19,000 kmsDiesel","₹ 31.85 Lakh
EMI @ ₹ 51,371
Gurgaon"
138,"2012 Hyundai Verna
1.6 SX CRDi (O)
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 3.7 Lakh
Gurgaon"
139,"2013 Ford Figo
Diesel LXI
76,190 kmsDiesel","76,190 kmsDiesel","₹ 2.35 Lakh
Gurgaon"
140,"2014 Nissan Terrano
XV 110 PS
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
Noida"
141,"2010 Skoda Laura
2.0 TDI AT L and K
70,000 kmsDiesel","70,000 kmsDiesel","₹ 3 Lakh
Gurgaon"
142,"2010 Maruti Wagon R
LXI BS IV
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.8 Lakh
New Delhi"
143,"2016 Honda City
i VTEC SV
85,000 kmsPetrol","85,000 kmsPetrol","₹ 7.5 Lakh
EMI @ ₹ 15,186
Greater Noida"
144,"2012 Hyundai i20
Magna Optional 1.2
85,000 kmsPetrol","85,000 kmsPetrol","₹ 3.25 Lakh
New Delhi"
145,"2009 Tata Sumo
GX
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 2.75 Lakh
Ghaziabad"
146,"2015 Mahindra Scorpio
S6 Plus 7 Seater
60,000 kmsDiesel","60,000 kmsDiesel","₹ 8.5 Lakh
EMI @ ₹ 17,211
Noida"
147,"2010 Skoda Superb
1.8 TFSI MT
70,000 kmsPetrol","70,000 kmsPetrol","₹ 2.75 Lakh
Faridabad"
148,"2012 Maruti Alto K10
LXI
11,750 kmsPetrol","11,750 kmsPetrol","₹ 2.2 Lakh
Ghaziabad"
149,"2017 Hyundai Creta
1.6 CRDi SX Plus
40,000 kmsDiesel","40,000 kmsDiesel","₹ 12.5 Lakh
EMI @ ₹ 25,310
Faridabad"
150,"2012 Ford Fiesta Classic
1.6 Duratec CLXI
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2.2 Lakh
New Delhi"
151,"2010 Honda City
1.5 V MT
1,10,000 kmsPetrol","1,10,000 kmsPetrol","₹ 3.7 Lakh
Gurgaon"
152,"2014 Mahindra XUV500
W6 2WD
88,000 kmsDiesel","88,000 kmsDiesel","₹ 6.5 Lakh
EMI @ ₹ 13,161
Faridabad"
153,"2016 Maruti Baleno
1.2 Delta
35,000 kmsPetrol","35,000 kmsPetrol","₹ 5.5 Lakh
EMI @ ₹ 11,137
Ghaziabad"
154,"2013 Mahindra XUV500
W8 4WD
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 4.75 Lakh
Gurgaon"
155,"2018 Ford Figo Aspire
1.5 TDCi Titanium
70,000 kmsDiesel","70,000 kmsDiesel","₹ 4.5 Lakh
EMI @ ₹ 9,112
Noida"
156,"2009 Honda Jazz
S
75,000 kmsPetrol","75,000 kmsPetrol","₹ 2.35 Lakh
Gurgaon"
157,"2011 Volkswagen Polo
Petrol Trendline 1.2L
63,000 kmsPetrol","63,000 kmsPetrol","₹ 2.6 Lakh
New Delhi"
158,"2019 Maruti XL6
Alpha AT
5,869 kmsPetrol","5,869 kmsPetrol","₹ 11.6 Lakh
EMI @ ₹ 20,683
Ghaziabad"
159,"2015 Mahindra XUV500
W6 2WD
1,08,424 kmsDiesel","1,08,424 kmsDiesel","₹ 7.15 Lakh
EMI @ ₹ 14,477
Gurgaon"
160,"2009 Maruti Swift Dzire
LXi
56,967 kmsPetrol","56,967 kmsPetrol","₹ 2.25 Lakh
Gurgaon"
161,"2018 Hyundai i20
1.2 Spotz
30,000 kmsPetrol","30,000 kmsPetrol","₹ 6 Lakh
EMI @ ₹ 12,149
Noida"
162,"2010 Mercedes-Benz CL-Class
500
82,000 kmsPetrol","82,000 kmsPetrol","₹ 6.95 Lakh
New Delhi"
163,"2014 Audi A4
2.0 TDI
41,000 kmsDiesel","41,000 kmsDiesel","₹ 15.8 Lakh
EMI @ ₹ 31,992
Gurgaon"
164,"2017 Hyundai Xcent
1.2 CRDi S
70,000 kmsDiesel","70,000 kmsDiesel","₹ 3.85 Lakh
EMI @ ₹ 7,796
Faridabad"
165,"2018 Hyundai Creta
1.4 CRDi Base
18,000 kmsDiesel","18,000 kmsDiesel","₹ 9.25 Lakh
EMI @ ₹ 18,730
New Delhi"
166,"2009 Maruti Swift Dzire
VXi
1,04,000 kmsPetrol","1,04,000 kmsPetrol","₹ 1.5 Lakh
New Delhi"
167,"2012 Honda Jazz
X
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2.9 Lakh
New Delhi"
168,"2018 Hyundai Creta
1.6 VTVT E Plus
19,000 kmsPetrol","19,000 kmsPetrol","₹ 9 Lakh
EMI @ ₹ 18,223
New Delhi"
169,"2012 Maruti Swift Dzire
VDi
61,200 kmsDiesel","61,200 kmsDiesel","₹ 3.6 Lakh
New Delhi"
170,"2018 Datsun RediGO
S
27,000 kmsPetrol","27,000 kmsPetrol","₹ 2.3 Lakh
EMI @ ₹ 4,657
Ghaziabad"
171,"2017 Hyundai Grand i10
1.2 Kappa Sportz BSIV
35,000 kmsPetrol","35,000 kmsPetrol","₹ 4.1 Lakh
EMI @ ₹ 8,302
New Delhi"
172,"2016 Maruti Ertiga
ZDI
43,216 kmsDiesel","43,216 kmsDiesel","₹ 6.75 Lakh
EMI @ ₹ 13,668
Noida"
173,"2011 Volkswagen Jetta
1.9 TDI Comfortline DSG
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 4 Lakh
Faridabad"
174,"2014 Skoda Rapid
1.6 MPI Ambition Plus
67,000 kmsPetrol","67,000 kmsPetrol","₹ 4.1 Lakh
EMI @ ₹ 8,302
Gurgaon"
175,"2020 Honda City
ZX MT
1,800 kmsPetrol","1,800 kmsPetrol","₹ 13.85 Lakh
EMI @ ₹ 22,339
Gurgaon"
176,"2014 Hyundai EON
Era Plus
46,903 kmsPetrol","46,903 kmsPetrol","₹ 2.25 Lakh
EMI @ ₹ 4,556
Faridabad"
177,"2015 Maruti Ciaz
VDi
87,150 kmsDiesel","87,150 kmsDiesel","₹ 5.3 Lakh
EMI @ ₹ 10,732
Gurgaon"
178,"2014 Maruti Swift
ZXI BSIV
70,000 kmsPetrol","70,000 kmsPetrol","₹ 4.25 Lakh
EMI @ ₹ 8,605
Faridabad"
179,"2019 Maruti Swift
VXI
10,000 kmsPetrol","10,000 kmsPetrol","₹ 5.9 Lakh
EMI @ ₹ 10,520
Noida"
180,"2016 Datsun GO Plus
T BSIV
60,000 kmsPetrol","60,000 kmsPetrol","₹ 3.6 Lakh
EMI @ ₹ 7,289
Gurgaon"
