,model,km,cost
0,"2020 Maruti Baleno
Sigma
9,437 kmsPetrol","9,437 kmsPetrol","₹ 5.64 Lakh
Fixed Price
EMI @ ₹ 9,105"
1,"2017 Maruti Baleno
Delta
20,267 kmsPetrol","20,267 kmsPetrol","₹ 5.46 Lakh
Fixed Price
EMI @ ₹ 11,059"
2,"2014 Volkswagen Polo
1.5 TDI Comfortline
68,117 kmsDiesel","68,117 kmsDiesel","₹ 3.22 Lakh
Fixed Price
EMI @ ₹ 6,530"
3,"2018 Maruti Baleno
Sigma
21,377 kmsPetrol","21,377 kmsPetrol","₹ 5.22 Lakh
Fixed Price
EMI @ ₹ 10,559"
4,"2020 Mercedes-Benz V-Class
Exclusive
15,000 kmsDiesel","15,000 kmsDiesel","₹ 85 Lakh
EMI @ ₹ 1.37 Lakh
New Delhi"
5,"2018 Mercedes-Benz CLA
Urban Sport 200d
28,000 kmsDiesel","28,000 kmsDiesel","₹ 29 Lakh
EMI @ ₹ 58,720
New Delhi"
6,"2018 Maruti Swift
LXI
11,360 kmsPetrol","11,360 kmsPetrol","₹ 5.03 Lakh
Fixed Price
EMI @ ₹ 10,175"
7,"2015 Maruti Swift
VXI
24,053 kmsPetrol","24,053 kmsPetrol","₹ 4.2 Lakh
Fixed Price
EMI @ ₹ 8,504"
8,"2016 Maruti Alto 800
VXI
16,473 kmsPetrol","16,473 kmsPetrol","₹ 2.38 Lakh
Fixed Price
EMI @ ₹ 4,829"
9,"2018 Maruti Baleno
1.2 Delta
23,769 kmsPetrol","23,769 kmsPetrol","₹ 5.49 Lakh
Fixed Price
EMI @ ₹ 11,106"
10,"2018 Volvo XC60
D5 Inscription
44,000 kmsDiesel","44,000 kmsDiesel","₹ 46 Lakh
EMI @ ₹ 93,142
New Delhi"
11,"2018 Land Rover Range Rover
3.0 Petrol SWB Vogue
25,000 kmsPetrol","25,000 kmsPetrol","₹ 1.45 Cr
EMI @ ₹ 2.94 Lakh
New Delhi"
12,"2019 Maruti Alto K10
VXI
9,747 kmsPetrol","9,747 kmsPetrol","₹ 3.7 Lakh
Fixed Price
EMI @ ₹ 6,606"
13,"2020 Maruti S-Presso
VXI Plus AT
2,293 kmsPetrol","2,293 kmsPetrol","₹ 4.77 Lakh
Fixed Price
EMI @ ₹ 7,694"
14,"2017 Hyundai Grand i10
Magna
43,970 kmsPetrol","43,970 kmsPetrol","₹ 4.09 Lakh
Fixed Price
EMI @ ₹ 8,282"
15,"2019 Maruti Swift
LXI
11,945 kmsPetrol","11,945 kmsPetrol","₹ 4.93 Lakh
Fixed Price
EMI @ ₹ 8,781"
16,"2019 MG Hector
Sharp AT BSIV
12,000 kmsPetrol","12,000 kmsPetrol","₹ 17.5 Lakh
EMI @ ₹ 31,203
New Delhi"
17,"2019 Hyundai Verna
CRDi 1.6 EX
39,286 kmsDiesel","39,286 kmsDiesel","₹ 8.8 Lakh
EMI @ ₹ 15,690
Ghaziabad"
18,"2019 Land Rover Range Rover Sport
SE
14,200 kmsDiesel","14,200 kmsDiesel","₹ 1.27 Cr
EMI @ ₹ 2.26 Lakh
New Delhi"
19,"2018 Maruti Swift
VXI 2018
17,000 kmsPetrol","17,000 kmsPetrol","₹ 5.98 Lakh
EMI @ ₹ 12,108
Faridabad"
20,"2015 Hyundai Creta
1.6 VTVT SX Plus Dual Tone
70,000 kmsPetrol","70,000 kmsPetrol","₹ 8.5 Lakh
EMI @ ₹ 17,211
Gurgaon"
21,"2018 Audi A3
35 TDI Premium Plus
20,000 kmsDiesel","20,000 kmsDiesel","₹ 25.9 Lakh
EMI @ ₹ 52,443
New Delhi"
22,"2016 Renault KWID
RXT
60,000 kmsPetrol","60,000 kmsPetrol","₹ 2.05 Lakh
EMI @ ₹ 4,151
Gurgaon"
23,"2007 Maruti Esteem
Vxi - BSIII
90,000 kmsPetrol","90,000 kmsPetrol","₹ 70,000
Ghaziabad"
24,"2016 Renault KWID
RXE Optional
40,000 kmsPetrol","40,000 kmsPetrol","₹ 2.8 Lakh
EMI @ ₹ 5,669
Gurgaon"
25,"2015 Mercedes-Benz CLS-Class
250 CDI
1,40,000 kmsDiesel","1,40,000 kmsDiesel","₹ 26.9 Lakh
EMI @ ₹ 54,468
Gurgaon"
26,"2016 Volvo XC 90
D5 Inscription BSIV
90,000 kmsDiesel","90,000 kmsDiesel","₹ 45 Lakh
EMI @ ₹ 91,117
Faridabad"
27,"2017 Maruti Swift
VDI Optional
50,000 kmsDiesel","50,000 kmsDiesel","₹ 5.2 Lakh
EMI @ ₹ 10,529
Faridabad"
28,"2013 Honda City
V MT
90,000 kmsPetrol","90,000 kmsPetrol","₹ 4.8 Lakh
Faridabad"
29,"2012 Nissan Sunny
XL
90,000 kmsPetrol","90,000 kmsPetrol","₹ 2.5 Lakh
Faridabad"
30,"2013 Volkswagen Vento
1.6 Trendline
71,002 kmsPetrol","71,002 kmsPetrol","₹ 3.41 Lakh
New Delhi"
31,"2015 Honda Amaze
SX i-VTEC
50,000 kmsPetrol","50,000 kmsPetrol","₹ 5 Lakh
EMI @ ₹ 10,124
Gurgaon"
32,"2011 Hyundai Santro Xing
GL Plus
77,500 kmsPetrol","77,500 kmsPetrol","₹ 1.7 Lakh
Noida"
33,"2016 Audi Q7
4.2 TDI Quattro Technology
87,000 kmsDiesel","87,000 kmsDiesel","₹ 38.9 Lakh
EMI @ ₹ 78,765
Gurgaon"
34,"2017 Hyundai Creta
1.4 CRDi Base
55,000 kmsDiesel","55,000 kmsDiesel","₹ 8.44 Lakh
EMI @ ₹ 17,087
Noida"
35,"2014 BMW 5 Series
520d Luxury Line
42,000 kmsDiesel","42,000 kmsDiesel","₹ 19.25 Lakh
EMI @ ₹ 38,978
New Delhi"
